檔案名稱,編號,名稱,品質,描述,效果觸發時機,效果,自身成長,其他數值成長,備注
S3001.webp,1,杠動力,普通,開杠後，本卡獲得＋50分→＋80分（當前為＋10分）,開杠後,＋分,"綫性, 售出重置",無成長,
S3002.webp,2,資本積累,普通,每持有10星幣則＋1番/每持有5星幣則＋1番（當前為＋0番）,獲得星幣時,＋番,"綫性,取決於其他數值",無成長,
S3003.webp,3,全明星,普通,和牌時每有1張紅寶牌，本護身符獲得＋50分/＋75分（當前為＋10分）,和牌時,＋分,"綫性,售出重置",無成長,
S3004.webp,4,秘籍：搶跑,普通,前12張摸牌和牌時＋6番/＋9番（每擁有1本其他秘籍時＋2番，關卡開始時重置）,和牌時,"＋番,可轉化","關開重置,可轉化",無成長,
S3005.webp,5,秘籍：沖刺,普通,最後12張摸牌和牌時＋4番/＋6番（每擁有1本其他秘籍時＋2番，關卡開始時重置）,和牌時,"＋番,可轉化","關開重置,可轉化",無成長,
S3006.webp,6,秘籍：先行,普通,130分/＋200分，每摸6張牌後-20分（每擁有1本其他秘籍時＋60分，關卡開始時重置）,和牌時,"＋分,可轉化","綫性,關開重置,可轉化",無成長,
S3007.webp,7,秘籍：後發,普通,"＋40分/＋60分，每摸6張牌後再＋15分。
（每擁有1本其他秘籍時＋10分，關卡開始時重置）",和牌時,"＋分,可轉化","綫性,關開重置,可轉化",無成長,
S3008.webp,8,斷幺神器,普通,每次完成斷麼九役種時，本護身符獲得＋20分/＋30分（當前為＋20分）,和牌時,＋分,"綫性,售出重置",無成長,
S3009.webp,9,占星術,普通,如果自摸牌是公開的牌，分數ｘ2/ｘ3,和牌時,×分,無成長,無成長,
S3010.webp,10,常看常新,普通,每摸9張牌後翻開1張寶牌指示牌/每摸6張牌後翻開1張寶牌指示牌,摸牌時,＋寶牌,無成長,無成長,
S3011.webp,11,荒野探險,普通,和牌後，額外翻開1張寶牌指示牌/＋50分並額外翻開1張寶牌指示牌,和牌時,"＋分,＋寶牌",無成長,無成長,
S3012.webp,12,機會卡,普通,隨機獲得＋0分~＋150分/＋0分~＋300分,和牌時,＋分,無成長,無成長,
S3013.webp,13,再來一次,普通,和牌時，隨機重覆計算1個役種（強化版：額外＋1番）,和牌時,＋番,無成長,無成長,
S3014.webp,14,恭喜發財,普通,和牌時，每有1張發則＋2星幣/＋3星幣,和牌時,±星幣,無成長,"線性,星幣",
S3015.webp,15,五門齊,普通,和牌時，如果包含所有的花色，則＋10番/＋13番,和牌時,＋番,無成長,無成長,國標：五門齊
S3016.webp,16,煙花小販,普通,和牌時，使隨機1種牌的基礎分值＋5分/＋10分,和牌時,＋基礎分值,無成長,"線性,基礎分值",
S3017.webp,17,彩虹泉水,普通,每關第1次和牌時，每有1個役種則＋1星幣/＋2星幣,首次和牌時,±星幣,無成長,"線性,星幣",
S3018.webp,18,節點令,普通,關卡結束時，每剩余1次換牌次數則獲得2星幣/3星幣,關卡結束時,±星幣,無成長,"線性,星幣",
S3019.webp,19,伐木場,普通,＋10分，在你打出5張索子牌後，本護身符獲得＋10分/＋15分（還剩5張）,和牌時,＋分,"綫性,售出重置",無成長,
S3020.webp,20,有失有得,普通,每關第1張打出的牌的基礎分值＋30分/＋50分,首次切牌時,＋基礎分值,無成長,"線性,基礎分值",
S3021.webp,21,放大縮小燈,普通,和牌時，如果手牌全部由123或全部由789的序數牌組成時，ｘ5番/ｘ10番,和牌時,×番,無成長,無成長,國標：全小、全大
S3022.webp,22,坐地起價,普通,開杠後，杠牌的基礎分值＋50分/＋80分,開杠後,＋基礎分值,無成長,"線性,基礎分值",
S3023.webp,23,開蓋有獎,普通,開杠後，公開後4張待摸牌/公開後6張待摸牌,開杠後,＋公開牌,無成長,無成長,
S3024.webp,24,延遲滿足,普通,每當你放棄1次自摸和牌，本護身符獲得＋40分/＋60分（當前為＋10分）,和牌時,＋分,"綫性,售出重置",無成長,
S3025.webp,25,直播帶貨,普通,每次進入商店時，隨機1件護身符包價格減半/隨機2件護身符包價格減半,進入商店時,商店,無成長,無成長,四舍五入
S3026.webp,26,捉五魁,普通,和牌時，如果自摸的是紅寶牌，則所有“5”序數牌基礎分值＋25分（強化版：自摸5序數牌也觸發）,關卡結束時,＋基礎分值,無成長,"線性,基礎分值",民間：捉五魁
S3027.webp,27,過期蘋果,普通,鎖定3張待摸牌。關卡結束時，獲得6星幣/9星幣,"關卡開始時,關卡結束時","＋鎖定牌,±星幣",無成長,"線性,星幣",
S3028.webp,28,喵咪養老院+,普通,和牌時，如果你的手牌中包含7張以上的幺九牌，本護身符獲得+40分/+60分（當前為+10分）,和牌時,＋分,"綫性,售出重置",無成長,
S3029.webp,29,文房四寶+,普通,在你打出18張字牌後，使隨機1種牌變為魂牌/在你打出12張字牌後使其變為魂牌,切牌時,＋魂牌,無成長,"線性,魂牌",
S3030.webp,30,小貓釣魚+,普通,鎖定3張待摸牌。每有1張鎖定的筒子，關卡結束時獲得3星幣/5星幣,"關卡開始時,關卡結束時","＋鎖定牌,±星幣",無成長,"線性,星幣",
S3031.webp,31,美味佳肴+,普通,和牌時，如果自摸的是筒子，則獲得2星幣/3星幣,和牌時,±星幣,無成長,"線性,星幣",
