檔案名稱,編號,名稱,品質,描述,效果,觸發時機,自身成長,其他數值,價格,提示框,升級版,轉化獲得,備注
S3001.webp,1,槓動力,普通,開槓後，本卡獲得+50分（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,3,,否,否,
S3p001.webp,2,槓動力+,普通,開槓後，本卡獲得+80分（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,3,,是,是,
S3002.webp,3,資本積累,普通,每持有10星幣則+1番（當前為+0番）,+番,和牌時,"線性,取決於其他數值",無成長,3,,否,否,
S3p002.webp,4,資本積累+,普通,每持有5星幣則+1番（當前為+0番）,+番,和牌時,"線性,取決於其他數值",無成長,3,,是,是,
S3003.webp,5,全明星,普通,和牌時每有1張紅寶牌，本護身符獲得+50分（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,3,,否,否,
S3p003.webp,6,全明星+,普通,和牌時每有1張紅寶牌，本護身符獲得+75分（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,3,,是,是,
S3004.webp,7,秘笈：搶跑,普通,前12張摸牌和牌時+6番。（每擁有1本其他秘笈時+2番，關卡開始時重置）,"+番,可轉化",和牌時,"關卡開始時重置,可轉化",無成長,3,秘笈,否,否,
S3p004.webp,8,秘笈：搶跑+,普通,前12張摸牌和牌時+9番。（每擁有1本其他秘笈時+2番，關卡開始時重置）,"+番,可轉化",和牌時,"關卡開始時重置,可轉化",無成長,3,秘笈+,是,是,
S3005.webp,9,秘笈：沖刺,普通,最後12張摸牌和牌時+4番。（每擁有1本其他秘笈時+2番，關卡開始時重置）,"+番,可轉化",和牌時,"關卡開始時重置,可轉化",無成長,3,秘笈,否,否,
S3p005.webp,10,秘笈：沖刺+,普通,最後12張摸牌和牌時+6番。（每擁有1本其他秘笈時+2番，關卡開始時重置）,"+番,可轉化",和牌時,"關卡開始時重置,可轉化",無成長,3,秘笈+,是,是,
S3006.webp,11,秘笈：先行,普通,+130分，每摸6張牌後-20分（每擁有1本其他秘笈時+60分，關卡開始時重置）,"+分,可轉化",和牌時,"線性,關卡開始時重置,可轉化",無成長,3,秘笈,否,否,
S3p006.webp,12,秘笈：先行+,普通,+200分，每摸6張牌後-20分（每擁有1本其他秘笈時+60分，關卡開始時重置）,"+分,可轉化",和牌時,"線性,關卡開始時重置,可轉化",無成長,3,秘笈+,是,是,
S3007.webp,13,秘笈：後發,普通,+40分，每摸6張牌後再+15分。（每擁有1本其他秘笈時+10分，關卡開始時重置）,"+分,可轉化",和牌時,"線性,關卡開始時重置,可轉化",無成長,3,秘笈,否,否,
S3p007.webp,14,秘笈：後發+,普通,+60分，每摸6張牌後再+15分。（每擁有1本其他秘笈時+10分，關卡開始時重置）,"+分,可轉化",和牌時,"線性,關卡開始時重置,可轉化",無成長,3,秘笈+,是,是,
S3008.webp,15,斷幺神器,普通,每次完成斷麼九役種時，本護身符獲得+20分（當前為+20分）,+分,和牌時,"線性,出售時重置",無成長,3,,否,否,
S3p008.webp,16,斷幺神器+,普通,每次完成斷麼九役種時，本護身符獲得+30分（當前為+20分）,+分,和牌時,"線性,出售時重置",無成長,3,,是,是,
S3009.webp,17,占星術,普通,如果自摸牌是公開的牌，分數x2,x分,和牌時,無成長,無成長,3,,否,否,
S3p009.webp,18,占星術+,普通,如果自摸牌是公開的牌，分數x3,x分,和牌時,無成長,無成長,3,,是,是,
S3010.webp,19,常看常新,普通,每摸9張牌後翻開1張寶牌指示牌,+寶牌,摸牌時,無成長,無成長,3,,否,否,
S3p010.webp,20,常看常新+,普通,每摸6張牌後翻開1張寶牌指示牌,+寶牌,摸牌時,無成長,無成長,3,,是,是,
S3011.webp,21,荒野探險,普通,和牌後，額外翻開1張寶牌指示牌,+寶牌,和牌時,無成長,無成長,3,,否,否,
S3p011.webp,22,荒野探險+,普通,+50分。和牌後，額外翻開1張寶牌指示牌,"+分,+寶牌",和牌時,無成長,無成長,3,,是,是,
S3012.webp,23,機會卡,普通,隨機獲得+0分~+150分,+分,和牌時,無成長,無成長,3,,否,否,
S3p012.webp,24,機會卡+,普通,隨機獲得+0分~+300分,+分,和牌時,無成長,無成長,3,,是,是,
S3013.webp,25,再來一次,普通,和牌時，隨機重覆計算1個役種,+番,和牌時,無成長,無成長,3,,否,否,
S3p013.webp,26,再來一次+,普通,和牌時，隨機重覆計算1個役種，並為其+1番,+番,和牌時,無成長,無成長,3,,是,是,
S3014.webp,27,恭喜發財,普通,和牌時，每有1張發則+2星幣,±星幣,和牌時,無成長,"線性,星幣",3,,否,否,
S3p014.webp,28,恭喜發財+,普通,和牌時，每有1張發則+3星幣,±星幣,和牌時,無成長,"線性,星幣",3,,是,是,
S3015.webp,29,五門齊,普通,和牌時，如果包含所有的花色，則+10番,+番,和牌時,無成長,無成長,3,"四風牌,三元牌",否,否,國標：五門齊
S3p015.webp,30,五門齊+,普通,和牌時，如果包含所有的花色，則+13番,+番,和牌時,無成長,無成長,3,"四風牌,三元牌",是,是,國標：五門齊
S3016.webp,31,煙花小販,普通,和牌時，使隨機1種牌的基礎分值+5分,+基礎分值,和牌時,無成長,"線性,基礎分值",3,基礎分值,否,否,
S3p016.webp,32,煙花小販+,普通,和牌時，使隨機1種牌的基礎分值+10分,+基礎分值,和牌時,無成長,"線性,基礎分值",3,基礎分值,是,是,
S3017.webp,33,彩虹泉水,普通,每關第1次和牌時，每有1個役種則+1星幣,±星幣,首次和牌時,無成長,"線性,星幣",3,,否,否,
S3p017.webp,34,彩虹泉水+,普通,每關第1次和牌時，每有1個役種則+2星幣,±星幣,首次和牌時,無成長,"線性,星幣",3,,是,是,
S3018.webp,35,節點令,普通,關卡結束時，每剩余1次換牌次數則獲得2星幣,±星幣,關卡結束時,無成長,"線性,星幣",3,,否,否,
S3p018.webp,36,節點令+,普通,關卡結束時，每剩余1次換牌次數則獲得3星幣,±星幣,關卡結束時,無成長,"線性,星幣",3,,是,是,
S3019.webp,37,伐木場,普通,+10分，在你打出5張索子牌後，本護身符獲得+10分（還剩5張）,+分,和牌時,"線性,出售時重置",無成長,3,,否,否,
S3p019.webp,38,伐木場+,普通,+10分，在你打出5張索子牌後，本護身符獲得+15分（還剩5張）,+分,和牌時,"線性,出售時重置",無成長,3,,是,是,
S3020.webp,39,有失有得,普通,每關第1張打出的牌的基礎分值+30分,+基礎分值,首次切牌時,無成長,"線性,基礎分值",3,基礎分值,否,否,
S3p020.webp,40,有失有得+,普通,每關第1張打出的牌的基礎分值+50分,+基礎分值,首次切牌時,無成長,"線性,基礎分值",3,基礎分值,是,是,
S3021.webp,41,放大縮小燈,普通,和牌時，如果手牌全部由123或全部由789的序數牌組成時，x5番,x番,和牌時,無成長,無成長,3,,否,否,國標：全小、全大
S3p021.webp,42,放大縮小燈+,普通,和牌時，如果手牌全部由123或全部由789的序數牌組成時，x10番,x番,和牌時,無成長,無成長,3,,是,是,國標：全小、全大
S3022.webp,43,坐地起價,普通,開槓後，槓牌的基礎分值+50分,+基礎分值,開槓後,無成長,"線性,基礎分值",3,基礎分值,否,否,
S3p022.webp,44,坐地起價+,普通,開槓後，槓牌的基礎分值+80分,+基礎分值,開槓後,無成長,"線性,基礎分值",3,基礎分值,是,是,
S3023.webp,45,開蓋有獎,普通,開槓後，公開後4張待摸牌,+公開牌,開槓後,無成長,無成長,3,,否,否,
S3p023.webp,46,開蓋有獎+,普通,開槓後，公開後6張待摸牌,+公開牌,開槓後,無成長,無成長,3,,是,是,
S3024.webp,47,延遲滿足,普通,每當你放棄1次自摸和牌，本護身符獲得+40分（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,3,,否,否,
S3p024.webp,48,延遲滿足+,普通,每當你放棄1次自摸和牌，本護身符獲得+60分（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,3,,是,是,
S3025.webp,49,直播帶貨,普通,每次進入商店時，隨機1件護身符包價格減半,商店,進入商店時,無成長,無成長,3,,否,否,四舍五入
S3p025.webp,50,直播帶貨+,普通,每次進入商店時，隨機2件護身符包價格減半,商店,進入商店時,無成長,無成長,3,,是,是,四舍五入
S3026.webp,51,捉五魁,普通,和牌時，如果自摸的是紅寶牌，則所有“5”序數牌基礎分值+25分,+基礎分值,和牌時,無成長,"線性,基礎分值",3,基礎分值,否,否,民間：捉五魁
S3p026.webp,52,捉五魁+,普通,和牌時，如果自摸的是“5”序數牌，則所有“5”序數牌基礎分值+25分,+基礎分值,和牌時,無成長,"線性,基礎分值",3,基礎分值,是,是,民間：捉五魁
S3027.webp,53,過期蘋果,普通,鎖定3張待摸牌。關卡結束時，獲得6星幣,"+鎖定牌,±星幣","關卡開始時,關卡結束時",無成長,"線性,星幣",3,鎖定,否,否,
S3p027.webp,54,過期蘋果+,普通,鎖定3張待摸牌。關卡結束時，獲得9星幣,"+鎖定牌,±星幣","關卡開始時,關卡結束時",無成長,"線性,星幣",3,鎖定,是,是,
S3028.webp,55,喵咪養老院,普通,和牌時，如果你的手牌中包含7張以上的幺九牌，本護身符獲得+40分（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,3,幺九牌,否,否,
S3p028.webp,56,喵咪養老院+,普通,和牌時，如果你的手牌中包含7張以上的幺九牌，本護身符獲得+60分（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,3,幺九牌,是,是,
S3029.webp,57,文房四寶,普通,在你打出18張字牌後，使隨機1種牌變為魂牌（還剩18張字牌）,+魂牌,切牌時,無成長,"線性,魂牌",3,魂牌,否,否,
S3p029.webp,58,文房四寶+,普通,在你打出12張字牌後，使隨機1種牌變為魂牌（還剩12張字牌）,+魂牌,切牌時,無成長,"線性,魂牌",3,魂牌,是,是,
S3030.webp,59,小貓釣魚,普通,鎖定3張待摸牌。每有1張鎖定的筒子，關卡結束時獲得3星幣,"+鎖定牌,±星幣","關卡開始時,關卡結束時",無成長,"線性,星幣",3,鎖定,否,否,
S3p030.webp,60,小貓釣魚+,普通,鎖定3張待摸牌。每有1張鎖定的筒子，關卡結束時獲得5星幣,"+鎖定牌,±星幣","關卡開始時,關卡結束時",無成長,"線性,星幣",3,鎖定,是,是,
S3031.webp,61,美味佳肴,普通,和牌時，如果自摸的是筒子，則獲得2星幣,±星幣,和牌時,無成長,"線性,星幣",3,,否,否,
S3p031.webp,62,美味佳肴+,普通,和牌時，如果自摸的是筒子，則獲得3星幣,±星幣,和牌時,無成長,"線性,星幣",3,,是,是,
S3032.webp,63,秘笈：亂步,普通,+320分，前12張摸牌和牌時+12番，最後12張摸牌和牌時+8番，每摸6張牌後+10分。（關卡開始時重置）,"+分,+番",和牌時,"線性,關卡開始時重置",無成長,3,,否,是,由 4 個初級版的【秘笈】合成而來
S3p032.webp,64,秘笈：亂步+,普通,+640分，前12張摸牌和牌時+24番，最後12張摸牌和牌時+16番，每摸6張牌後+20分。（關卡開始時重置）,"+分,+番",和牌時,"線性,關卡開始時重置",無成長,3,,是,是,可由 4 個【秘笈】合成而來，其中至少有 1 個是升級版
S3033.webp,65,雲上森林,普通,+0分。效果量等同於本局遊戲中魂牌種數的30倍。,+分,和牌時,"線性,取決於其他數值",無成長,3,魂牌,否,否,
S3p033.webp,66,雲上森林+,普通,+0分。效果量等同於本局遊戲中魂牌種數的60倍。,+分,和牌時,"線性,取決於其他數值",無成長,3,魂牌,是,是,
